多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
恢复增加,韩语,회복 증가,西班牙语（西班牙）,AUMENTO DE LA RECUPERACIÓN
挑战,日语,チャレンジ,德语,Herausforderung
重置倒计时：,繁体中文,重置倒數計時：,法语,Heure de réinitialisation :
黑洞球,日语,ブラックホールボール,德语,SCHWARZES-LOCH-KUGEL
冰冻球,日语,アイスボール,俄语,ЗАМОРАЖИВАЮЩИЙ ШАР
首次通关{0}层,日语,初めてフロア{0}をクリアしました,法语,Niveau {0} terminé pour la 1re fois 
钻头球,日语,ドリルボール,法语,BALLE DE FORAGE
尚未收集任何卡牌,日语,収集したカードがありません,印尼语,Belum ada kartu yang dikumpulkan
史诗武器晶石,韩语,에픽 무기 크리스탈,俄语,Кристалл эпического оружия
主线扫荡券,韩语,스테이지 소탕 스크롤 ,西班牙语（西班牙）,Pergamino de guerra relámpago de fase
随机获得一个A级史诗森系宠物,日语,ランダムに選択されたAグレードのエピックの森のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического джунглевого питомца класса A
<b>永恒 + 4</b>,韩语,<b>이터널 + 4</b>,越南语,Vĩnh Hằng + 4
随机S级史诗森系宠物,日语,ランダムSグレードのエピックの森のペット,法语,Familier de la jungle épique de grade S aléatoire
通关主线第{0}章后解锁,日语,メインステージ{0}をクリアして アンロックしよう,法语,Terminez le niveau principal {0} pour déverrouiller
史诗戒指晶石,韩语,에픽 반지 크리스탈,俄语,Кристалл эпического кольца
雷电精通,韩语,번개 마스터,法语,MAÎTRE DE LA FOUDRE
荣耀帽子晶石,韩语,영예 모자 크리스탈,俄语,Кристалл почетного головного убора
生成燃烧之地的概率提升至<color=#00FF00>100%</color>,韩语,불타는 구역 생성 확률 <color=#00FF00>100%</color>로 증가,法语,Le taux d'apparition de la zone brûlante a été augmenté à <color=#00FF00>100 %</color>
确定,繁体中文,確定,俄语,Подтвердить
史诗靴子晶石,韩语,에픽 신발 크리스탈,法语,Longe de chaussures épiques
在装备合成时可替代任意荣耀护腕的神秘材料,韩语,장비 융합 시 아무 영예 팔보호구를 대체하는 데 사용됩니다,法语,Peut remplacer n'importe quel brassard d'honneur pendant la fusion des équipements
补充商品次数已经用完,日语,補充回数が使い切った！,法语,Toutes les réapprovisionnements ont été utilisés !
怪物被击败对随机{0}敌人造成雷电伤害,韩语,죽인 몬스터가 무작위 적 {0}명에게 번개 데미지를 입힙니다,法语,Les monstres tués infligent des dégâts de foudre à {0} ennemis aléatoires
2022年春节限定头像框,韩语,2022년 봄축제 한정 액자,葡萄牙（巴西）,Moldura Limitada do Festival de Primavera 2022
连击数每达到{0}时天降雷击并连锁{1}个怪物,韩语,콤보 수가 {0}에 도달할 때마다 번개가 치고 몬스터 {1}마리를 연결합니다,德语,"Für jede Kombo, die {0} erreicht, werden Blitzschläge ausgelöst, die {1} Monster in Ketten legen."
角色血量大于<color=#00FF00>80%</color>时，即可增加攻击力,日语,キャラクターのHPが<color=#00FF00>80%</color>を上回ると、攻撃が増える,法语,"Lorsque vos PV sont supérieurs à <color=#00FF00>80 %</color>, l'attaque est augmentée"
随机获得一件优秀帽子,日语,ランダムに選択されたグッドの帽子を1つゲットしよう,俄语,Получите 1 случайный головной убор хорошего качества
闪避时攻击力永久增加<color=#00FF00>2%</color>（上限20%）,韩语,회피 시 공격 <color=#00FF00>2%</color> 증가 (최대 20%),德语,Bei Ausweichen wird die Angriffskraft um <color=#00FF00>2%</color> erhöht (max. 20%).
随机A级稀有宠物,日语,ランダムAグレードのレアペット,法语,Familier rare de grade A aléatoire
所有火焰伤害提升{0}%,日语,すべての炎ダメージが{0}%増加する,法语,Tous les dégâts de feu ont été augmentés de {0} %
商品购买,日语,アイテムを購入,德语,Gegenstand kaufen
特殊连击,日语,スペシャルコンボ,阿拉伯语,ضربات متتالية مميزة
其他技能,日语,その他のスキル,法语,Autres compétences
秒杀球,日语,即死ボール,西班牙语（西班牙）,BOLA DE INSTAMUERTE
黑洞消失时变成{0}个飞弹,日语,ブラックホールが消失する際、{0}個のミサイルを召喚する,德语,"Das Schwarze Loch verwandelt sich in {0} Rakete(n), wenn es verschwindet."
随机稀有装备,日语,ランダムレアの装備,德语,Zufällige Seltene Ausrüstung
随机优秀衣服,日语,ランダムグッドの衣服,俄语,Случайный хороший предмет одежды
随机获得一件优秀戒指,日语,ランダムに選択されたグッドの指輪を1つゲットしよう,俄语,Получите 1 случайное кольцо хорошего качества
随机获得一个S级传说宠物,日语,ランダムに選択されたSグレードのレジェンダリーのペットを1匹ゲットしよう,法语,Obtenez 1 familier légendaire de qualité S aléatoire
普通球攻击提升,韩语,노멀 볼 공격 증가,德语,ANGRIFFSVERSTÄRKUNG (NORMALE KUGELN)
风筝节嘉年华的收集物，可以用来兑换奖品,日语,凧あげ祭りカーニバルの収集アイテム。賞品の交換に使用できます。,法语,Objet collecté du Carnaval du festival des cerfs-volants. S'utilise pour échanger contre des prix
雷系史诗锤子,日语,エピックの雷ハンマー,法语,Marteau du tonnerre épique
活动时间,韩语,이벤트 시간,俄语,Продолжительность события
随机获得一件史诗衣服,日语,ランダムに選択されたエピックの衣服を1つゲットしよう,俄语,Получите 1 случайный предмет одежды эпического качества
连击数每达到{0}时对随机{1}排敌人造成激光伤害,韩语,{0} 콤보마다 무작위로 {1}열의 적에게 레이저 데미지를 입힙니다,法语,"Chaque combo de {0} de coups, inflige des dégâts laser à {1} ligne(s) ennemie(s) aléatoire(s)"
连击数每达到{0}时向血量最少的敌人发射{1}个追踪飞弹,韩语,{0} 콤보마다 HP가 가장 낮은 적에게 추적 미사일이 발사됩니다,阿拉伯语,كلما وصل عدد مجموعة الضربات إلى {0}، أطلق {1} من الصواريخ الموجّهة نحو الأعداء الذين لديهم أدنى عدد نقاط صحة.
冰华霜降,韩语,얼음 서리,西班牙语（西班牙）,ESCARCHA DE HIELO
彩蛋,日语,イースターエッグ,土耳其语,Paskalya Yumurtası
当敌人死亡时，额外生成<color=#00FF00>1</color>个特殊球,日语,モンスターをキルするとスペシャルボールが<color=#00FF00>1</color>個生成される,德语,Beim Töten von Monstern wird <color=#00FF00>1</color> Spezialkugel erzeugt.
连击数每达到{0}时天降{1}个高额伤害的黑洞球,韩语,{0} 콤보마다 높은 데미지의 블랙홀 볼 {1}개가 떨어집니다,阿拉伯语,كلما وصل عدد مجموعة الضربات إلى {0}، أسقِط {1} من كرات الثقب الأسود مرتفعة الضرر.
装备降品会返还100%的装备和材料,韩语,장비 품질 다운 시 장비 및 재료가 100% 반환됩니다,意大利语,L'abbassamento del Grado dell'equipaggiamento rimborsa il 100% dell'equipaggiamento e dei materiali
当怪物数量大于等于15时，减少受到伤害<color=#00FF00>30%</color>,韩语,몬스터 수가 15보다 크거나 같을 때 받는 데미지 <color=#00FF00>30%</color> 감소,德语,"Wenn die Anzahl an Monstern 15 oder mehr beträgt, wird der erlittenen Schaden um <color=#00FF00>30%</color> verringert."
在装备合成时可替代任意史诗武器的神秘材料,韩语,장비 융합 시 아무 에픽 무기를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Vũ Khí Cực Phẩm nào trong suốt quá trình dung hợp trang bị
随机史诗护腕,日语,ランダムエピックのブレーサー,葡萄牙（巴西）,Braçadeiras Épicas Aleatórias
在装备合成时可替代任意荣耀戒指的神秘材料,韩语,장비 융합 시 아무 영예 반지를 대체하는 데 사용됩니다,德语,Kann beim Fusionieren von Ausrüstung einen beliebigen Ehrenhaften Ring ersetzen.
是否花费宝石为试练商店补货？,日语,商品の在庫を補充するために宝石を使用しますか？,法语,Utiliser des Gemmes pour réapprovisionner la marchandise de la Boutique de l'Épreuve ?
在试炼之塔探索中获得的神秘货币，可以在试炼商店中用来购买想要的东西,韩语,시련의 탑 탐험을 통해 얻은 신비한 재화는 시련의 상점에서 원하는 아이템을 구입하는 데 사용됩니다,法语,"Obtenue lors de l'exploration d'Épreuve, cette mystérieuse monnaie peut être utilisée pour acheter ce que vous voulez dans la boutique de l'Épreuve"
所有激光伤害提升{0}%,日语,すべてのレーザーダメージが{0}%増加する,法语,Tous les dégâts de laser ont été augmentés de {0} %
血量增加,韩语,HP 증가,阿拉伯语,زيادة نقاط الصحة
竖激光球,韩语,세로 레이저 볼,俄语,ВЕРТ. ЛАЗЕРНЫЙ ШАР
