多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
女巫留下的宝珠，据说可以制造任何事物的幻影,韩语,마녀가 남긴 이 오브는 만물의 환영을 만들어낼 수 있다고 한다,西班牙语（西班牙）,"Un orbe que abandonó una bruja, del que se cuenta que puede crear ilusiones a partir de cualquier cosa."
超值 回馈/1000%+,繁体中文,超值 回饋/1000%+,法语,Super économique/1000 % +
通关主线第153章,韩语,스테이지 153 클리어하기,西班牙语（西班牙）,Has completado la fase 153.
神圣祭坛达到一阶,韩语,신성한 제단 I 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp I
巨型战鼓,韩语,거대한 전쟁 북,意大利语,Tamburo di guerra gigante
已获得所有奖品,韩语,모든 보상을 이미 획득했습니다!,意大利语,Tutti i premi sono già stati vinti!
巨型战鼓,韩语,거대한 전쟁 북,意大利语,Tamburo di guerra gigante
卸下,韩语,장비 해제,法语,Ne plus équiper
通关主线第156章,韩语,스테이지 156 클리어하기,西班牙语（西班牙）,Has completado la fase 156.
技能重置,日语,スキルリセット,法语,Réinitialiser les compétences
使用宝物后，角色攻击力增加<color=#00FF00>30%</color>，持续1回合,日语,宝物を使えばキャラの攻撃力が<color=#00FF00>30%</color>アップ、効果は1ラウンド続ける,意大利语,"Quando viene utilizzato il Manufatto, l'Attacco del personaggio viene aumentato del <color=#00FF00>30%</color> per 1 turno"
解锁第<color=#00FF00>2</color>个宝物槽位,日语,アンロック<color=#00FF00>二つ</color>目の宝物スロット,西班牙语（西班牙）,Desbloquea el espacio del artefacto <color=#00FF00>2</color>
指针不足,韩语,스피너가 부족합니다,西班牙语（西班牙）,No tienes suficientes ruletas
紫水晶,日语,アメジスト,越南语,Thạch Anh Tím
通关主线第154章,韩语,스테이지 154 클리어하기,西班牙语（西班牙）,Has completado la fase 154.
解锁第<color=#00FF00>3</color>个宝物槽位,日语,アンロック<color=#00FF00>三つ</color>目の宝物スロット,西班牙语（西班牙）,Desbloquea el espacio del artefacto <color=#00FF00>3</color>
选择一个技能,日语,スキルを一つ選んでください,法语,Sélectionner une compétence
S级宝物碎片,日语,Sグレード宝物のカケラ,葡萄牙（巴西）,Fragmento de Artefato Grau S Intacto
通关主线第155章,韩语,스테이지 155 클리어하기,西班牙语（西班牙）,Has completado la fase 155.
遗迹中的天然屏障，阻挡探险者行进，无法摧毁,日语,遺跡の天然なガード。冒険者たちは近づけなくて、破壊することもできません。,越南语,Rào cản tự nhiên không thể phá hủy ở các tàn tích đã ngăn cản các nhà thám hiểm tiến vào nơi đây
我的宝物,韩语,나의 보물,泰语,อาร์ติแฟกซ์ของฉัน
战斗,日语,バトル,印尼语,Pertempuran
闪耀着太阳光芒的黄金长弓，不管多远的目标都可以准确命中,韩语,태양의 빛이 나는 황금 활은 목표가 아무리 멀리 있어도 명중한다,德语,"Ein goldener Langbogen, der im Licht der Sonne glänzt und jedes Ziel trifft, mag es auch noch so weit entfernt sein."
供奉在生命之泉之上的圣杯,韩语,생명의 샘을 봉헌하는 성배,德语,"Ein heiliger Gral, mit dem die Quelle des Lebens geweiht wird."
砰砰宝物箱,韩语,보물 핀박스,阿拉伯语,كنز Pun الدفين
通关主线第151章,韩语,스테이지 151 클리어하기,西班牙语（西班牙）,Has completado la fase 151.
一阶神圣祭坛,韩语,신성한 제단 I,泰语,แท่นบูชาศักดิ์สิทธิ์ II
斯巴达英雄打造的可穿透一切的锋利长矛,韩语,스파르타 영웅이 만든 모든 것을 꿰뚫는 날카로운 창,意大利语,"Una lancia acuminata realizzata da un eroe Spartano, in grado di trafiggere qualsiasi cosa"
普通球,日语,ノーマルボール,意大利语,Biglia normale
进入遗迹,韩语,유적 입장,法语,Entrer dans les Ruines
角色信息,韩语,캐릭터 정보,意大利语,Informazioni sul personaggio
神圣祭坛达到二阶,韩语,신성한 제단 II 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp II
海德拉复刻,韩语,히드라 클론,阿拉伯语,استنساخ هايدرا
限购{0}次,韩语,{0}번 한정,阿拉伯语,فقط {0} من عمليات الشراء
按资质排序,韩语,등급으로 정렬,印尼语,Menurut Grade
通关主线第148章,韩语,스테이지 148 클리어하기,西班牙语（西班牙）,Has completado la fase 148.
一键升级,日语,Max アップグレード,阿拉伯语,الترقية إلى الحد الأقصى
神圣祭坛达到七阶,韩语,신성한 제단 VII 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp VII
地心矿洞,日语,アースコア鉱山,法语,Mine au cœur de la terre
奖励详情,日语,ボーナス詳細,泰语,รายละเอียด
通关主线第157章,韩语,스테이지 157 클리어하기,西班牙语（西班牙）,Has completado la fase 157.
此处被一些实力较强劲的敌人所占据。击败他们才能通过此处,韩语,이 곳은 실력이 강한 적들이 점령하고 있습니다. 그들을 물리치고 통과하세요,法语,Occupé par des ennemis d'un certain calibre. Vainquez-les pour passer au travers.
通关主线第142章,韩语,스테이지 142 클리어하기,西班牙语（西班牙）,Has completado la fase 142.
升级材料数量不足！,繁体中文,升級材料數量不足！,西班牙语（西班牙）,¡No hay suficientes materiales!
1周年下篇,韩语,1주년 2주차,阿拉伯语,الأسبوع 2 من الذكرى السنوية الأولى
最少使用1个指针,日语,最低1つのスピナーを使用する必要があります,德语,Mindestens 1 Glücksbringer muss verwendet werden
砰砰宝物箱详情,韩语,보물 핀박스 정보,越南语,Chi Tiết Rương PunTrove
活动已结束,韩语,이벤트가 종료되었습니다,西班牙语（西班牙）,El evento ha finalizado.
初级怪物营地,日语,初級モンスターの陣地,西班牙语（西班牙）,Campamento de monstruos comunes
红龙剑的碎片，可以用来激活和升级红龙剑,日语,エンバーウィングの大剣のカケラ。エンバーウィングの大剣のアクティブ化やアップグレードに使用できる,德语,Rotes Drachenschwert (Scherbe) zur Aktivierung und Verbesserung des Roten Drachenschwertes
封印着红色巨龙灵魂的巨剑,韩语,강력한 레드 드래곤의 영혼이 봉인된 대검,德语,Dieses gewaltige Schwert birgt die Seele eines mächtigen roten Drachen.
幻影宝珠,日语,ファントムオーブ,阿拉伯语,الجرم السماوي المخادع
魔法气息凝聚而成的球体，拾取后可以增加小球数量,韩语,무수한 마법의 실로 융합된 이 오브는 취득 시 볼의 수를 증가시킵니다,德语,"Unzählige Zauberfäden wurden zu diesem magischen Gegenstand verschmolzen, der die Anzahl an Kugeln des Charakters erhöht, wenn er erbeutet wird."
释放萨满巫术治疗自身周围怪物，治疗范围更大,韩语,더 넓은 범위에 있는 주변 몬스터를 치유하는 샤먼 마법을 시전합니다,印尼语,Melepaskan sihir shaman yang menyembuhkan monster di sekeliling dengan jangkauan lebih luas
通关主线第160章,韩语,스테이지 160 클리어하기,西班牙语（西班牙）,Has completado la fase 160.
战斗号角,日语,ウォーホーン,葡萄牙（巴西）,Chifre de Guerra
阿波罗遗迹探索,韩语,아폴로 유적 탐험,意大利语,Esplorazione delle Rovine di Apollo
砰砰法师1周年\n嘉年华下篇,日语,ポンボール1周年\nカーニバル　後半,意大利语,Primo Anniversario di PunBall\nSettimana 2 della Fiera
通关主线第150章,韩语,스테이지 150 클리어하기,西班牙语（西班牙）,Has completado la fase 150.
绿龙护盾的碎片，可以用来激活和升级绿龙护盾,韩语,그린 드래곤 방패를 활성화하고 업그레이드하는 데 사용하는 그린 드래곤 방패 조각,德语,Schild des Grünen Drachen (Scherbe) zur Aktivierung und Verbesserung des Schildes des Grünen Drachen
赤龙剑,日语,エンバーウィングの大剣,德语,Rotes Drachenschwert
传送门,日语,ポータル,越南语,Cổng Dịch Chuyển
战斗中第一个释放的主动技能，在<color=#00FF00>5</color>回合后可再使用<color=#00FF00>1</color>次,韩语,전투에서 사용된 첫 번째 활성 스킬은 <color=#00FF00>5</color> 라운드 후 <color=#00FF00>1</color>회 더 사용됩니다,德语,"Nach <color=#00FF00>5</color> Runden wird die erste aktive Fähigkeit, die während des Kampfes benutzt wurde, <color=#00FF00>1</color> weiteres Mal benutzt"
砰砰法师1周年嘉年华上篇的收集物，可以用来兑换奖品,日语,ポンボール1周年カーニバル前半イベントで集められたアイテム。プレゼントと交換できます,法语,Objet collecté par la semaine 1 du carnaval du 1e anniversaire de Punball. Utilisé pour échanger contre des prix
哥布林萨满,日语,ゴブリンシャーマン,越南语,Pháp Sư Yêu Tinh
本回合瞄准线长度增加<color=#00FF00>{0}%</color>且可以折射,韩语,이번 라운드의 조준선 길이가 <color=#00FF00>{0}%</color> 증가하고 각도를 벗어나 연장할 수 있습니다,越南语,Đường nhắm bắn được tăng lên <color=#00FF00>{0}%</color> và có thể được mở rộng ra nhiều góc trong lượt chơi hiện tại
所有宝物等级<color=#00FF00>+5</color>,日语,すべての宝物レベルが<color=#00FF00>+5</color>,法语,Niveau de tous les Artefacts <color=#00FF00>+5</color>
更换装备,韩语,장비 교체,意大利语,Cambia equipaggiamento
宝物已达到最大等级,韩语,최대 보물 레벨 도달,西班牙语（西班牙）,Se ha alcanzado el nivel de artefacto máximo.
众神遗落的大宝箱，里面含有A级宝物碎片，需要天赋极高的魔法师才能拾取,韩语,신의 유적에서 발견된 큰 상자에는 A급 보물 조각이 들어있습니다. 마법 재능이 높은 사람만 취득할 수 있습니다,西班牙语（西班牙）,Cofre grande que se encuentra en las Ruinas de los Dioses. Contiene fragmentos de artefacto de grado A. Solo lo pueden saquear aquellos con alta afinidad mágica.
获取幸运指针,日语,ラッキースピナーを入手,法语,Obtenir des Lanceurs de la chance
周年庆宝石大礼包,日语,アニバーサリーグランドジェムパック,意大利语,Pacchetto Grande Gemma dell'Anniversario
四阶神圣祭坛,韩语,신성한 제단 IV,泰语,แท่นบูชาศักดิ์สิทธิ์ IV
神圣祭坛技能,韩语,신성한 제단 스킬,西班牙语（西班牙）,Habilidades del Altar sagrado
海德拉,日语,ハイドラ,阿拉伯语,هايدرا
音符,简体中文,音符,德语,Musikalische Note
限定奖品概率,韩语,한정 보상 확률,德语,Wahrscheinlichkeit (Limitierte Preise)
骸骨矿洞,韩语,해골 광산,印尼语,Tambang Osseous
穿刺长矛,韩语,랜스보어 창,德语,Speer der Durchbohrung
砰砰法师1周年庆典限定头像框,繁体中文,砰砰法師1周年慶典限定頭像框,意大利语,Cornice limitata per il Primo Anniversario di PunBall
阿波罗遗迹 第{0}层,繁体中文,阿波羅遺跡 第{0}層,意大利语,Piano delle rovine di Apollo {0}
微光矿洞,韩语,반짝이는 광산,西班牙语（西班牙）,Mina resplandeciente
绿龙护盾,韩语,그린 드래곤 방패,德语,Schild des Grünen Drachen
生命圣杯的碎片，可以用来激活和升级生命圣杯,韩语,생명의 성배를 활성화하고 업그레이드하는 데 사용하는 생명의 성배 조각,德语,Hl. Gral des Lebens (Scherbe) zur Aktivierung und Verbesserung des Hl. Gral des Lebens
此处被一些实力非常强大的敌人所占据。击败他们才能通过此处,韩语,이 곳은 실력이 매우 강력한 적들이 점령하고 있습니다. 그들을 물리치고 통과하세요,法语,Occupé par des ennemis d'une puissance sauvage. Vainquez-les pour passer au travers.
宝物技能,韩语,보물 스킬,西班牙语（西班牙）,Habilidades de los artefactos
生命之泉,韩语,생명의 샘,法语,Printemps de la vie
死亡镰刀碎片,韩语,데스 사이드 조각,西班牙语（西班牙）,Fragmento de Guadaña de la muerte
遗迹探索,韩语,유적 탐험,西班牙语（西班牙）,Exploración de las Ruinas
所有宠物的下次伤害提升<color=#00FF00>{0}%</color>，所有宠物技能CD<color=#00FF00>-{1}</color>,韩语,모든 펫의 다음 공격 데미지가 <color=#00FF00>{0}%</color> 증가합니다. 모든 펫 스킬 쿨타임 <color=#00FF00>-{1}</color>,西班牙语（西班牙）,El daño del siguiente ataque aumenta en un <color=#00FF00>{0}%</color> para todas las mascotas. El tiempo de espera de todas las habilidades de las mascotas <color=#00FF00>-{1}</color>.
战鼓,日语,ウォードラム,法语,Tambour de guerre
释放萨满巫术治疗自身周围怪物，治疗范围更大,韩语,더 넓은 범위에 있는 주변 몬스터를 치유하는 샤먼 마법을 시전합니다,印尼语,Melepaskan sihir shaman yang menyembuhkan monster di sekeliling dengan jangkauan lebih luas
活动期间购买任意宝石礼包都会获得<color=#FF0000>额外</color>宝石奖励哦！,日语,イベント期間で任意のジェムパックを購入すると\n<color=#FF0000>おまけで</color>ボーナスジャムを獲得できる,法语,Achetez n'importe quel Pack de Gemmes aqu cours de l'événement pour obtenir des Gemmes <color=#FF0000>supplémentaires</color> !
用神力驱动的传送门，可以瞬间将你传送到另外一个地图,韩语,신성한 힘으로 가동되는 이 포털은 즉시 다른 맵으로 캐릭터를 순간 이동합니다,德语,Dieses Portal wird durch göttliche Energie angetrieben und transportiert dich in Sekundenschnelle auf eine andere Karte.
天羽箭,韩语,스카이샷 화살,西班牙语（西班牙）,Flecha de Disparo celestial
海德拉召唤的邪恶生物,韩语,히드라가 소환한 사악한 생물,法语,Adeptes maléfiques invoqués
等级:{0},繁体中文,等級:{0},阿拉伯语,المستوى {0}
传送,日语,テレポート,阿拉伯语,الانتقال الفوري
功能说明,繁体中文,功能說明,西班牙语（西班牙）,Información
死亡镰刀的碎片，可以用来激活和升级死亡镰刀,韩语,데스 사이드를 활성화하고 업그레이드하는 데 사용하는 데스 사이드 조각,西班牙语（西班牙）,El fragmento de Guadaña de la muerte se usa para activar y mejorar la Guadaña de la muerte.
怪物列表,日语,モンスターリスト,西班牙语（西班牙）,Lista de monstruos
本回合瞄准线长度增加<color=#00FF00>{0}%</color>且可以折射，本回合攻击力增加<color=#00FF00>{1}%</color>,韩语,이번 라운드의 조준선 길이가 <color=#00FF00>{0}%</color> 증가하고 각도를 벗어나 연장할 수 있습니다. 이번 라운드의 공격이 <color=#00FF00>{1}%</color> 증가합니다,德语,Die Länge der Ziellinie wird in dieser Runde um <color=#00FF00>{0}%</color> erhöht und kann von Winkeln ausgehend erweitert werden. Die Angriffskraft in dieser Runde wird um <color=#00FF00>{1}%</color> erhöht.
归位,日语,ロケーション,俄语,расположение
超值 回馈/1000%+,繁体中文,超值 回饋/1000%+,法语,Super économique/1000 % +
砰砰法师1周年派对,日语,ポンボール1周年パーティ,意大利语,FESTA PER IL PRIMO ANNIVERSARIO DI PUNBALL
这就是入侵遗迹的罪魁祸首，作为暗夜女王最得力的助手之一，海德拉的凶残并不是浪得虚名。请做好一切准备后再来挑战,韩语,유적 침공의 주범입니다. 밤의 여왕의 강력한 조수 중 한 명인 히드라의 잔혹함을 무시할 수 없습니다. 충분한 준비를 한 후 도전하세요,德语,"Die Hydra trägt die Hauptschuld an der Invasion der Ruinen und gehört zu den Boten der Königin der Nacht. Du solltest ihre Grausamkeit nicht unterschätzen und dich lieber gut vorbereiten, wenn du sie herausfordern willst."
通关主线第145章,韩语,스테이지 145 클리어하기,西班牙语（西班牙）,Has completado la fase 145.
1周年限定头像框,韩语,1주년 한정 액자,阿拉伯语,الإطار المحدود للذكرى السنوية الأولى
山峰,日语,マウンテンピーク,越南语,Đỉnh núi
购买幸运指针,日语,ラッキースピナーを購入,法语,Acheter des Lanceurs de la chance
满级,繁体中文,滿級,土耳其语,Maksimum
用来升阶神圣祭坛的材料,韩语,신성한 제단을 진전하는 데 사용합니다,德语,Damit kann ein Heiliger Altar erweitert werden.
任意宝物等级达到5级,日语,任意の宝物がレベル5になる,法语,N'importe quel Artefact au niv. 5
阿波罗之弓概率提升,日语,アポロの弓のドロップ率アップ,西班牙语（西班牙）,Aumento de frecuencia de Arco de Apolo
死亡镰刀,韩语,데스 사이드,西班牙语（西班牙）,Guadaña de la muerte
转盘旋转中,韩语,룰렛 도는 중,西班牙语（西班牙）,La rueda está girando
至少获得一个完整的A级宝物,韩语,완전한 A급 보물 최소 1개 획득,俄语,Получите по меньшей мере 1 нетронутый артефакт класса А
通关主线第152章,韩语,스테이지 152 클리어하기,西班牙语（西班牙）,Has completado la fase 152.
探索遗迹可获得大量宝物碎片\n和神圣祭坛所需材料,韩语,유적을 탐험하여 신성한 제단에 필요한 대량의 보물 조각과 재료를 획득하세요,西班牙语（西班牙）,Explora las ruinas para ganar abundantes fragmentos de artefacto y materiales necesarios para el Altar sagrado.
通关主线第143章,韩语,스테이지 143 클리어하기,西班牙语（西班牙）,Has completado la fase 143.
高级遗迹宝箱,韩语,귀중한 유적 상자,西班牙语（西班牙）,Cofre de las ruinas precioso
雾气丛林,繁体中文,霧氣叢林,法语,Forêt de la brume
滚石沙丘,韩语,롤링 모래언덕,阿拉伯语,الكثبان الرملية المضطربة
升级,日语,アップグレード,西班牙语（西班牙）,Actualizar
下篇,韩语,2주차,意大利语,Settimana 2
活动结束后，剩余的幸运指针会以钻石回购的方式回收,日语,イベント終了後に、未使用のラッキースピナーをジェムに変換して回収させていただきます,德语,"Wenn das Event zu Ende ist, werden alle verbleibenden Glücksbringer in Edelsteine umwandelt."
远古深海,韩语,고대 심연,西班牙语（西班牙）,Abismo ancestral
选择技能替换,韩语,교체할 스킬을 선택하세요,葡萄牙（巴西）,Escolha uma habilidade para substituir
魔法泉水,韩语,마법의 샘,俄语,Волшебный источник
高级怪物营地,韩语,악랄한 몬스터 캠프,西班牙语（西班牙）,Campamento de monstruos brutales
<size=56>周年庆         </size>\n<size=56>        累计充值</size>,繁体中文,<size=56>週年慶         </size>\n<size=56>        累計充值</size>,意大利语,<size=56>Acquisti         </size>\n<size=56>       dell'Anniversario</size>
通关主线第141章,韩语,스테이지 141 클리어하기,西班牙语（西班牙）,Has completado la fase 141.
立即获得一个护盾值为生命上限<color=#00FF00>{0}%</color>的护盾，持续<color=#00FF00>{1}</color>回合,韩语,즉시 최대 HP <color=#00FF00>{0}%</color>의 방패를 획득합니다. <color=#00FF00>{1}</color>라운드 동안 지속됩니다,越南语,Ngay lập tức nhận được một khiên với <color=#00FF00>{0}%</color> lượng HP Tối đa. Kéo dài trong <color=#00FF00>{1}</color> lượt chơi
更换宠物,日语,ペット変更,阿拉伯语,تغيير الحيوانات الأليفة
六阶神圣祭坛,韩语,신성한 제단 VI,泰语,แท่นบูชาศักดิ์สิทธิ์ VI
生命圣杯碎片,韩语,생명의 성배 조각,意大利语,Frammento del Graal della vita
砰砰法师1周年嘉年华下篇的收集物，可以用来兑换奖品,日语,ポンボール1周年カーニバル後半イベントで集められたアイテム。プレゼントと交換できます,法语,Objet collecté par la semaine 2 du carnaval du 1e anniversaire de Punball. Utilisé pour échanger contre des prix
砰砰法师1周年\n嘉年华,日语,ポンボール1周年\nカーニバル,葡萄牙（巴西）,FEIRA DA\nFESTA DE ANIVERSÁRIO DE 1 ANO DO PUNBALL
通关主线第158章,韩语,스테이지 158 클리어하기,西班牙语（西班牙）,Has completado la fase 158.
本回合所有球伤害增加<color=#00FF00>{0}%</color>,日语,このラウンドすべてのボールのダメージーが<color=#00FF00>{0}%</color>アップ,德语,Sämtlicher Schaden durch Kugeln ist in dieser Runde um <color=#00FF00>{0}%</color> erhöht.
请选择一个技能,日语,スキルを一つ選びなさい,法语,Sélectionner une compétence
新宝物,韩语,새로운 보물,阿拉伯语,قطعة أثرية جديدة
释放萨满巫术治疗自身周围怪物,韩语,주변 몬스터를 치유하는 샤먼 마법을 시전합니다,法语,Lance de la magie chamanique qui soigne les monstres environnants
可传送至3层,韩语,3층으로 순간이동,德语,Teleportiere dich zu Etage 3
超值,简体中文,超值,法语,Économique
暗流沙漠,韩语,암류 사막,西班牙语（西班牙）,Arenas del flujo oscuro
阿波罗之弓,韩语,아폴로의 활,德语,Bogen des Apollo
激励周围的怪物，使他们攻击力增加,日语,周りのモンスターの士気を鼓舞して攻撃力をアップする,印尼语,Memberi semangat kepada monster di sekeliling dan meningkatkan Serangan mereka
神圣祭坛达到三阶,韩语,신성한 제단 III 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp III
每回合回复生命上限<color=#00FF00>{0}%</color>的血量，持续<color=#00FF00>{1}</color>回合,韩语,매 라운드 최대 HP의 <color=#00FF00>{0}%</color>를 회복합니다. <color=#00FF00>{1}</color>라운드 동안 지속됩니다,越南语,Phục hồi <color=#00FF00>{0}%</color> lượng HP Tối đa ở mỗi lượt chơi. Kéo dài trong <color=#00FF00>{1}</color> lượt chơi
未激活,日语,未アクティブ,越南语,Chưa kích hoạt
神圣祭坛已达到最大等级,韩语,최대 신성한 제단 레벨 도달,西班牙语（西班牙）,Se ha alcanzado el nivel máximo de Altar sagrado.
精灵长弓碎片,日语,エルフの長弓のカケラ,俄语,Осколок эльфийского длинного лука
三阶神圣祭坛,韩语,신성한 제단 III,泰语,แท่นบูชาศักดิ์สิทธิ์ III
激活,韩语,활성화,俄语,Активировать
